All significant metrics (> 100ms total):
  Iteration_Profiled: total=26731.94, avg=6682.98, count=4
  Layer_9_Total_Forward_Detailed_unprofiled: total=165.99, avg=10.37, count=16
  Layer_10_Total_Forward_Detailed_unprofiled: total=165.99, avg=10.37, count=16
  Layer_4_Total_Forward_Detailed_unprofiled: total=165.96, avg=10.37, count=16
  Layer_3_Total_Forward_Detailed_unprofiled: total=165.96, avg=10.37, count=16
  Layer_27_Total_Forward_Detailed_unprofiled: total=165.94, avg=10.37, count=16
  Layer_5_Total_Forward_Detailed_unprofiled: total=165.89, avg=10.37, count=16
  Layer_30_Total_Forward_Detailed_unprofiled: total=165.87, avg=10.37, count=16
  Layer_29_Total_Forward_Detailed_unprofiled: total=165.85, avg=10.37, count=16
  Layer_2_Total_Forward_Detailed_unprofiled: total=165.70, avg=10.36, count=16
  Layer_31_Total_Forward_Detailed_unprofiled: total=165.61, avg=10.35, count=16
  Layer_32_Total_Forward_Detailed_unprofiled: total=164.79, avg=10.30, count=16
  Layer_1_Total_Forward_Detailed_unprofiled: total=164.46, avg=10.28, count=16
